suite      arm                      task                                     metric           alex  gruenau     diff
standard   control                  bbh_cot_fewshot_word_sorting             exact_match    0.3400   0.3320  -0.0080
standard   control                  gsm8k                                    exact_match    0.7930   0.7938  +0.0008
standard   control                  gsm8k                                    exact_match    0.7862   0.7870  +0.0008
standard   control                  hellaswag                                acc            0.5631   0.5631  +0.0000
standard   control                  hellaswag                                acc_norm       0.7343   0.7343  +0.0000
standard   control                  hendrycks_math500                        exact_match    0.0000   0.0000  +0.0000
standard   control                  mmlu                                     acc            0.6975   0.6975  +0.0000
standard   control                  mmlu_abstract_algebra                    acc            0.4600   0.4600  +0.0000
standard   control                  mmlu_anatomy                             acc            0.7185   0.7185  +0.0000
standard   control                  mmlu_astronomy                           acc            0.8224   0.8224  +0.0000
standard   control                  mmlu_business_ethics                     acc            0.8000   0.8000  +0.0000
standard   control                  mmlu_clinical_knowledge                  acc            0.7623   0.7623  +0.0000
standard   control                  mmlu_college_biology                     acc            0.8403   0.8403  +0.0000
standard   control                  mmlu_college_chemistry                   acc            0.4900   0.4900  +0.0000
standard   control                  mmlu_college_computer_science            acc            0.6700   0.6700  +0.0000
standard   control                  mmlu_college_mathematics                 acc            0.3700   0.3700  +0.0000
standard   control                  mmlu_college_medicine                    acc            0.6936   0.6936  +0.0000
standard   control                  mmlu_college_physics                     acc            0.4608   0.4608  +0.0000
standard   control                  mmlu_computer_security                   acc            0.8300   0.8300  +0.0000
standard   control                  mmlu_conceptual_physics                  acc            0.7404   0.7404  +0.0000
standard   control                  mmlu_econometrics                        acc            0.6228   0.6228  +0.0000
standard   control                  mmlu_electrical_engineering              acc            0.7172   0.7172  +0.0000
standard   control                  mmlu_elementary_mathematics              acc            0.5926   0.5926  +0.0000
standard   control                  mmlu_formal_logic                        acc            0.5000   0.5000  +0.0000
standard   control                  mmlu_global_facts                        acc            0.4700   0.4700  +0.0000
standard   control                  mmlu_high_school_biology                 acc            0.8484   0.8484  +0.0000
standard   control                  mmlu_high_school_chemistry               acc            0.6207   0.6207  +0.0000
standard   control                  mmlu_high_school_computer_science        acc            0.7600   0.7600  +0.0000
standard   control                  mmlu_high_school_european_history        acc            0.8121   0.8121  +0.0000
standard   control                  mmlu_high_school_geography               acc            0.8737   0.8737  +0.0000
standard   control                  mmlu_high_school_government_and_politics acc            0.9275   0.9275  +0.0000
standard   control                  mmlu_high_school_macroeconomics          acc            0.7615   0.7615  +0.0000
standard   control                  mmlu_high_school_mathematics             acc            0.3852   0.3852  +0.0000
standard   control                  mmlu_high_school_microeconomics          acc            0.8866   0.8866  +0.0000
standard   control                  mmlu_high_school_physics                 acc            0.5762   0.5762  +0.0000
standard   control                  mmlu_high_school_psychology              acc            0.8972   0.8972  +0.0000
standard   control                  mmlu_high_school_statistics              acc            0.6991   0.6991  +0.0000
standard   control                  mmlu_high_school_us_history              acc            0.8480   0.8480  +0.0000
standard   control                  mmlu_high_school_world_history           acc            0.8692   0.8692  +0.0000
standard   control                  mmlu_human_aging                         acc            0.7399   0.7399  +0.0000
standard   control                  mmlu_human_sexuality                     acc            0.7786   0.7786  +0.0000
standard   control                  mmlu_humanities                          acc            0.6145   0.6145  +0.0000
standard   control                  mmlu_international_law                   acc            0.8595   0.8595  +0.0000
standard   control                  mmlu_jurisprudence                       acc            0.8148   0.8148  +0.0000
standard   control                  mmlu_logical_fallacies                   acc            0.8221   0.8221  +0.0000
standard   control                  mmlu_machine_learning                    acc            0.5982   0.5982  +0.0000
standard   control                  mmlu_management                          acc            0.8738   0.8738  +0.0000
standard   control                  mmlu_marketing                           acc            0.9274   0.9274  +0.0000
standard   control                  mmlu_medical_genetics                    acc            0.8300   0.8300  +0.0000
standard   control                  mmlu_miscellaneous                       acc            0.8467   0.8467  +0.0000
standard   control                  mmlu_moral_disputes                      acc            0.7486   0.7486  +0.0000
standard   control                  mmlu_moral_scenarios                     acc            0.3363   0.3363  +0.0000
standard   control                  mmlu_nutrition                           acc            0.7745   0.7745  +0.0000
standard   control                  mmlu_other                               acc            0.7573   0.7573  +0.0000
standard   control                  mmlu_philosophy                          acc            0.7299   0.7299  +0.0000
standard   control                  mmlu_prehistory                          acc            0.8148   0.8148  +0.0000
standard   control                  mmlu_professional_accounting             acc            0.5426   0.5426  +0.0000
standard   control                  mmlu_professional_law                    acc            0.5176   0.5176  +0.0000
standard   control                  mmlu_professional_medicine               acc            0.7500   0.7500  +0.0000
standard   control                  mmlu_professional_psychology             acc            0.7451   0.7451  +0.0000
standard   control                  mmlu_public_relations                    acc            0.6727   0.6727  +0.0000
standard   control                  mmlu_security_studies                    acc            0.7878   0.7878  +0.0000
standard   control                  mmlu_social_sciences                     acc            0.8131   0.8131  +0.0000
standard   control                  mmlu_sociology                           acc            0.8408   0.8408  +0.0000
standard   control                  mmlu_stem                                acc            0.6495   0.6495  +0.0000
standard   control                  mmlu_us_foreign_policy                   acc            0.8800   0.8800  +0.0000
standard   control                  mmlu_virology                            acc            0.5542   0.5542  +0.0000
standard   control                  mmlu_world_religions                     acc            0.8421   0.8421  +0.0000
standard   control                  piqa                                     acc            0.7933   0.7933  +0.0000
standard   control                  piqa                                     acc_norm       0.7998   0.7998  +0.0000
standard   control                  winogrande                               acc            0.6977   0.6977  +0.0000
standard   longdoc                  agieval_logiqa_en                        acc            0.2934   0.2934  +0.0000
standard   longdoc                  agieval_logiqa_en                        acc_norm       0.3625   0.3625  +0.0000
standard   longdoc                  arc_challenge                            acc            0.5162   0.5162  +0.0000
standard   longdoc                  arc_challenge                            acc_norm       0.5683   0.5683  +0.0000
standard   longdoc                  bbh                                      exact_match    0.6827   0.6812  -0.0015
standard   longdoc                  bbh_cot_fewshot_boolean_expressions      exact_match    0.9120   0.9160  +0.0040
standard   longdoc                  bbh_cot_fewshot_causal_judgement         exact_match    0.5989   0.5989  +0.0000
standard   longdoc                  bbh_cot_fewshot_date_understanding       exact_match    0.7520   0.7200  -0.0320
standard   longdoc                  bbh_cot_fewshot_disambiguation_qa        exact_match    0.6720   0.6760  +0.0040
standard   longdoc                  bbh_cot_fewshot_dyck_languages           exact_match    0.0800   0.0880  +0.0080
standard   longdoc                  bbh_cot_fewshot_formal_fallacies         exact_match    0.5920   0.5760  -0.0160
standard   longdoc                  bbh_cot_fewshot_geometric_shapes         exact_match    0.5840   0.5840  +0.0000
standard   longdoc                  bbh_cot_fewshot_hyperbaton               exact_match    0.9520   0.9360  -0.0160
standard   longdoc                  bbh_cot_fewshot_logical_deduction_five_objects exact_match    0.5120   0.5240  +0.0120
standard   longdoc                  bbh_cot_fewshot_logical_deduction_seven_objects exact_match    0.3560   0.3640  +0.0080
standard   longdoc                  bbh_cot_fewshot_logical_deduction_three_objects exact_match    0.8120   0.8120  +0.0000
standard   longdoc                  bbh_cot_fewshot_movie_recommendation     exact_match    0.6920   0.6840  -0.0080
standard   longdoc                  bbh_cot_fewshot_multistep_arithmetic_two exact_match    0.8560   0.8520  -0.0040
standard   longdoc                  bbh_cot_fewshot_navigate                 exact_match    0.9680   0.9600  -0.0080
standard   longdoc                  bbh_cot_fewshot_object_counting          exact_match    0.8360   0.8400  +0.0040
standard   longdoc                  bbh_cot_fewshot_penguins_in_a_table      exact_match    0.7397   0.7466  +0.0068
standard   longdoc                  bbh_cot_fewshot_reasoning_about_colored_objects exact_match    0.7640   0.7400  -0.0240
standard   longdoc                  bbh_cot_fewshot_ruin_names               exact_match    0.5280   0.5240  -0.0040
standard   longdoc                  bbh_cot_fewshot_salient_translation_error_detection exact_match    0.4920   0.5000  +0.0080
standard   longdoc                  bbh_cot_fewshot_snarks                   exact_match    0.6742   0.7022  +0.0281
standard   longdoc                  bbh_cot_fewshot_sports_understanding     exact_match    0.8440   0.8440  +0.0000
standard   longdoc                  bbh_cot_fewshot_temporal_sequences       exact_match    0.6960   0.6880  -0.0080
standard   longdoc                  bbh_cot_fewshot_tracking_shuffled_objects_five_objects exact_match    0.7080   0.7080  +0.0000
standard   longdoc                  bbh_cot_fewshot_tracking_shuffled_objects_seven_objects exact_match    0.5800   0.5800  +0.0000
standard   longdoc                  bbh_cot_fewshot_tracking_shuffled_objects_three_objects exact_match    0.9280   0.9240  -0.0040
standard   longdoc                  bbh_cot_fewshot_web_of_lies              exact_match    0.9840   0.9920  +0.0080
standard   longdoc                  bbh_cot_fewshot_word_sorting             exact_match    0.3200   0.3240  +0.0040
standard   longdoc                  gsm8k                                    exact_match    0.7998   0.7938  -0.0061
standard   longdoc                  gsm8k                                    exact_match    0.7923   0.7862  -0.0061
standard   longdoc                  hellaswag                                acc            0.5664   0.5664  +0.0000
standard   longdoc                  hellaswag                                acc_norm       0.7408   0.7408  +0.0000
standard   longdoc                  hendrycks_math500                        exact_match    0.0020   0.0020  +0.0000
standard   longdoc                  mmlu                                     acc            0.6955   0.6955  +0.0000
standard   longdoc                  mmlu_abstract_algebra                    acc            0.3900   0.3900  +0.0000
standard   longdoc                  mmlu_anatomy                             acc            0.7111   0.7111  +0.0000
standard   longdoc                  mmlu_astronomy                           acc            0.8092   0.8092  +0.0000
standard   longdoc                  mmlu_business_ethics                     acc            0.8100   0.8100  +0.0000
standard   longdoc                  mmlu_clinical_knowledge                  acc            0.7736   0.7736  +0.0000
standard   longdoc                  mmlu_college_biology                     acc            0.8194   0.8194  +0.0000
standard   longdoc                  mmlu_college_chemistry                   acc            0.4700   0.4700  +0.0000
standard   longdoc                  mmlu_college_computer_science            acc            0.6700   0.6700  +0.0000
standard   longdoc                  mmlu_college_mathematics                 acc            0.3900   0.3900  +0.0000
standard   longdoc                  mmlu_college_medicine                    acc            0.6879   0.6879  +0.0000
standard   longdoc                  mmlu_college_physics                     acc            0.5000   0.5000  +0.0000
standard   longdoc                  mmlu_computer_security                   acc            0.8200   0.8200  +0.0000
standard   longdoc                  mmlu_conceptual_physics                  acc            0.7447   0.7447  +0.0000
standard   longdoc                  mmlu_econometrics                        acc            0.6491   0.6491  +0.0000
standard   longdoc                  mmlu_electrical_engineering              acc            0.7034   0.7034  +0.0000
standard   longdoc                  mmlu_elementary_mathematics              acc            0.6376   0.6376  +0.0000
standard   longdoc                  mmlu_formal_logic                        acc            0.4921   0.4921  +0.0000
standard   longdoc                  mmlu_global_facts                        acc            0.4400   0.4400  +0.0000
standard   longdoc                  mmlu_high_school_biology                 acc            0.8484   0.8484  +0.0000
standard   longdoc                  mmlu_high_school_chemistry               acc            0.6305   0.6305  +0.0000
standard   longdoc                  mmlu_high_school_computer_science        acc            0.7500   0.7500  +0.0000
standard   longdoc                  mmlu_high_school_european_history        acc            0.8121   0.8121  +0.0000
standard   longdoc                  mmlu_high_school_geography               acc            0.8636   0.8636  +0.0000
standard   longdoc                  mmlu_high_school_government_and_politics acc            0.9171   0.9171  +0.0000
standard   longdoc                  mmlu_high_school_macroeconomics          acc            0.7538   0.7538  +0.0000
standard   longdoc                  mmlu_high_school_mathematics             acc            0.4667   0.4667  +0.0000
standard   longdoc                  mmlu_high_school_microeconomics          acc            0.8739   0.8739  +0.0000
standard   longdoc                  mmlu_high_school_physics                 acc            0.5695   0.5695  +0.0000
standard   longdoc                  mmlu_high_school_psychology              acc            0.8899   0.8899  +0.0000
standard   longdoc                  mmlu_high_school_statistics              acc            0.6713   0.6713  +0.0000
standard   longdoc                  mmlu_high_school_us_history              acc            0.8235   0.8235  +0.0000
standard   longdoc                  mmlu_high_school_world_history           acc            0.8650   0.8650  +0.0000
standard   longdoc                  mmlu_human_aging                         acc            0.7354   0.7354  +0.0000
standard   longdoc                  mmlu_human_sexuality                     acc            0.7863   0.7863  +0.0000
standard   longdoc                  mmlu_humanities                          acc            0.6079   0.6079  +0.0000
standard   longdoc                  mmlu_international_law                   acc            0.8595   0.8595  +0.0000
standard   longdoc                  mmlu_jurisprudence                       acc            0.8056   0.8056  +0.0000
standard   longdoc                  mmlu_logical_fallacies                   acc            0.8160   0.8160  +0.0000
standard   longdoc                  mmlu_machine_learning                    acc            0.5714   0.5714  +0.0000
standard   longdoc                  mmlu_management                          acc            0.8641   0.8641  +0.0000
standard   longdoc                  mmlu_marketing                           acc            0.9316   0.9316  +0.0000
standard   longdoc                  mmlu_medical_genetics                    acc            0.8300   0.8300  +0.0000
standard   longdoc                  mmlu_miscellaneous                       acc            0.8429   0.8429  +0.0000
standard   longdoc                  mmlu_moral_disputes                      acc            0.7486   0.7486  +0.0000
standard   longdoc                  mmlu_moral_scenarios                     acc            0.3330   0.3330  +0.0000
standard   longdoc                  mmlu_nutrition                           acc            0.7778   0.7778  +0.0000
standard   longdoc                  mmlu_other                               acc            0.7570   0.7570  +0.0000
standard   longdoc                  mmlu_philosophy                          acc            0.7363   0.7363  +0.0000
standard   longdoc                  mmlu_prehistory                          acc            0.8056   0.8056  +0.0000
standard   longdoc                  mmlu_professional_accounting             acc            0.5567   0.5567  +0.0000
standard   longdoc                  mmlu_professional_law                    acc            0.5059   0.5059  +0.0000
standard   longdoc                  mmlu_professional_medicine               acc            0.7426   0.7426  +0.0000
standard   longdoc                  mmlu_professional_psychology             acc            0.7418   0.7418  +0.0000
standard   longdoc                  mmlu_public_relations                    acc            0.6727   0.6727  +0.0000
standard   longdoc                  mmlu_security_studies                    acc            0.7714   0.7714  +0.0000
standard   longdoc                  mmlu_social_sciences                     acc            0.8083   0.8083  +0.0000
standard   longdoc                  mmlu_sociology                           acc            0.8458   0.8458  +0.0000
standard   longdoc                  mmlu_stem                                acc            0.6556   0.6556  +0.0000
standard   longdoc                  mmlu_us_foreign_policy                   acc            0.8800   0.8800  +0.0000
standard   longdoc                  mmlu_virology                            acc            0.5542   0.5542  +0.0000
standard   longdoc                  mmlu_world_religions                     acc            0.8421   0.8421  +0.0000
standard   longdoc                  piqa                                     acc            0.7916   0.7916  +0.0000
standard   longdoc                  piqa                                     acc_norm       0.8047   0.8047  +0.0000
standard   longdoc                  winogrande                               acc            0.7032   0.7032  +0.0000
standard   logic_band25             agieval_logiqa_en                        acc            0.2811   0.2811  +0.0000
standard   logic_band25             agieval_logiqa_en                        acc_norm       0.3502   0.3502  +0.0000
standard   logic_band25             arc_challenge                            acc            0.5273   0.5273  +0.0000
standard   logic_band25             arc_challenge                            acc_norm       0.5742   0.5742  +0.0000
standard   logic_band25             bbh                                      exact_match    0.6802   0.6827  +0.0025
standard   logic_band25             bbh_cot_fewshot_boolean_expressions      exact_match    0.9080   0.9120  +0.0040
standard   logic_band25             bbh_cot_fewshot_causal_judgement         exact_match    0.6043   0.6043  +0.0000
standard   logic_band25             bbh_cot_fewshot_date_understanding       exact_match    0.7760   0.7800  +0.0040
standard   logic_band25             bbh_cot_fewshot_disambiguation_qa        exact_match    0.6920   0.6800  -0.0120
standard   logic_band25             bbh_cot_fewshot_dyck_languages           exact_match    0.0880   0.0840  -0.0040
standard   logic_band25             bbh_cot_fewshot_formal_fallacies         exact_match    0.6320   0.6320  +0.0000
standard   logic_band25             bbh_cot_fewshot_geometric_shapes         exact_match    0.6120   0.5960  -0.0160
standard   logic_band25             bbh_cot_fewshot_hyperbaton               exact_match    0.9080   0.9120  +0.0040
standard   logic_band25             bbh_cot_fewshot_logical_deduction_five_objects exact_match    0.5200   0.5120  -0.0080
standard   logic_band25             bbh_cot_fewshot_logical_deduction_seven_objects exact_match    0.3120   0.3080  -0.0040
standard   logic_band25             bbh_cot_fewshot_logical_deduction_three_objects exact_match    0.8080   0.8120  +0.0040
standard   logic_band25             bbh_cot_fewshot_movie_recommendation     exact_match    0.6920   0.6880  -0.0040
standard   logic_band25             bbh_cot_fewshot_multistep_arithmetic_two exact_match    0.8800   0.8880  +0.0080
standard   logic_band25             bbh_cot_fewshot_navigate                 exact_match    0.9720   0.9720  +0.0000
standard   logic_band25             bbh_cot_fewshot_object_counting          exact_match    0.8480   0.8560  +0.0080
standard   logic_band25             bbh_cot_fewshot_penguins_in_a_table      exact_match    0.7329   0.7671  +0.0342
standard   logic_band25             bbh_cot_fewshot_reasoning_about_colored_objects exact_match    0.7640   0.7720  +0.0080
standard   logic_band25             bbh_cot_fewshot_ruin_names               exact_match    0.5040   0.5160  +0.0120
standard   logic_band25             bbh_cot_fewshot_salient_translation_error_detection exact_match    0.4640   0.4880  +0.0240
standard   logic_band25             bbh_cot_fewshot_snarks                   exact_match    0.7022   0.7079  +0.0056
standard   logic_band25             bbh_cot_fewshot_sports_understanding     exact_match    0.8440   0.8560  +0.0120
standard   logic_band25             bbh_cot_fewshot_temporal_sequences       exact_match    0.6680   0.6680  +0.0000
standard   logic_band25             bbh_cot_fewshot_tracking_shuffled_objects_five_objects exact_match    0.6600   0.6640  +0.0040
standard   logic_band25             bbh_cot_fewshot_tracking_shuffled_objects_seven_objects exact_match    0.5360   0.5400  +0.0040
standard   logic_band25             bbh_cot_fewshot_tracking_shuffled_objects_three_objects exact_match    0.9120   0.9040  -0.0080
standard   logic_band25             bbh_cot_fewshot_web_of_lies              exact_match    1.0000   1.0000  +0.0000
standard   logic_band25             bbh_cot_fewshot_word_sorting             exact_match    0.3360   0.3360  +0.0000
standard   logic_band25             gsm8k                                    exact_match    0.7961   0.7915  -0.0045
standard   logic_band25             gsm8k                                    exact_match    0.7923   0.7877  -0.0045
standard   logic_band25             hellaswag                                acc            0.5611   0.5611  +0.0000
standard   logic_band25             hellaswag                                acc_norm       0.7301   0.7301  +0.0000
standard   logic_band25             hendrycks_math500                        exact_match    0.0040   0.0020  -0.0020
standard   logic_band25             mmlu                                     acc            0.6906   0.6906  +0.0000
standard   logic_band25             mmlu_abstract_algebra                    acc            0.4500   0.4500  +0.0000
standard   logic_band25             mmlu_anatomy                             acc            0.7333   0.7333  +0.0000
standard   logic_band25             mmlu_astronomy                           acc            0.8224   0.8224  +0.0000
standard   logic_band25             mmlu_business_ethics                     acc            0.8000   0.8000  +0.0000
standard   logic_band25             mmlu_clinical_knowledge                  acc            0.7811   0.7811  +0.0000
standard   logic_band25             mmlu_college_biology                     acc            0.8194   0.8194  +0.0000
standard   logic_band25             mmlu_college_chemistry                   acc            0.5000   0.5000  +0.0000
standard   logic_band25             mmlu_college_computer_science            acc            0.6500   0.6500  +0.0000
standard   logic_band25             mmlu_college_mathematics                 acc            0.4200   0.4200  +0.0000
standard   logic_band25             mmlu_college_medicine                    acc            0.6821   0.6821  +0.0000
standard   logic_band25             mmlu_college_physics                     acc            0.5000   0.5000  +0.0000
standard   logic_band25             mmlu_computer_security                   acc            0.8300   0.8300  +0.0000
standard   logic_band25             mmlu_conceptual_physics                  acc            0.7277   0.7277  +0.0000
standard   logic_band25             mmlu_econometrics                        acc            0.6404   0.6404  +0.0000
standard   logic_band25             mmlu_electrical_engineering              acc            0.7034   0.7034  +0.0000
standard   logic_band25             mmlu_elementary_mathematics              acc            0.6217   0.6217  +0.0000
standard   logic_band25             mmlu_formal_logic                        acc            0.4921   0.4921  +0.0000
standard   logic_band25             mmlu_global_facts                        acc            0.4200   0.4200  +0.0000
standard   logic_band25             mmlu_high_school_biology                 acc            0.8387   0.8387  +0.0000
standard   logic_band25             mmlu_high_school_chemistry               acc            0.6158   0.6158  +0.0000
standard   logic_band25             mmlu_high_school_computer_science        acc            0.7600   0.7600  +0.0000
standard   logic_band25             mmlu_high_school_european_history        acc            0.8000   0.8000  +0.0000
standard   logic_band25             mmlu_high_school_geography               acc            0.8586   0.8586  +0.0000
standard   logic_band25             mmlu_high_school_government_and_politics acc            0.9067   0.9067  +0.0000
standard   logic_band25             mmlu_high_school_macroeconomics          acc            0.7538   0.7538  +0.0000
standard   logic_band25             mmlu_high_school_mathematics             acc            0.3741   0.3741  +0.0000
standard   logic_band25             mmlu_high_school_microeconomics          acc            0.8824   0.8824  +0.0000
standard   logic_band25             mmlu_high_school_physics                 acc            0.5629   0.5629  +0.0000
standard   logic_band25             mmlu_high_school_psychology              acc            0.8899   0.8899  +0.0000
standard   logic_band25             mmlu_high_school_statistics              acc            0.6620   0.6620  +0.0000
standard   logic_band25             mmlu_high_school_us_history              acc            0.8480   0.8480  +0.0000
standard   logic_band25             mmlu_high_school_world_history           acc            0.8439   0.8439  +0.0000
standard   logic_band25             mmlu_human_aging                         acc            0.7578   0.7578  +0.0000
standard   logic_band25             mmlu_human_sexuality                     acc            0.7863   0.7863  +0.0000
standard   logic_band25             mmlu_humanities                          acc            0.6011   0.6011  +0.0000
standard   logic_band25             mmlu_international_law                   acc            0.8512   0.8512  +0.0000
standard   logic_band25             mmlu_jurisprudence                       acc            0.8148   0.8148  +0.0000
standard   logic_band25             mmlu_logical_fallacies                   acc            0.8221   0.8221  +0.0000
standard   logic_band25             mmlu_machine_learning                    acc            0.6071   0.6071  +0.0000
standard   logic_band25             mmlu_management                          acc            0.8641   0.8641  +0.0000
standard   logic_band25             mmlu_marketing                           acc            0.9274   0.9274  +0.0000
standard   logic_band25             mmlu_medical_genetics                    acc            0.8400   0.8400  +0.0000
standard   logic_band25             mmlu_miscellaneous                       acc            0.8429   0.8429  +0.0000
standard   logic_band25             mmlu_moral_disputes                      acc            0.7457   0.7457  +0.0000
standard   logic_band25             mmlu_moral_scenarios                     acc            0.3050   0.3050  +0.0000
standard   logic_band25             mmlu_nutrition                           acc            0.7647   0.7647  +0.0000
standard   logic_band25             mmlu_other                               acc            0.7551   0.7551  +0.0000
standard   logic_band25             mmlu_philosophy                          acc            0.7267   0.7267  +0.0000
standard   logic_band25             mmlu_prehistory                          acc            0.8056   0.8056  +0.0000
standard   logic_band25             mmlu_professional_accounting             acc            0.5390   0.5390  +0.0000
standard   logic_band25             mmlu_professional_law                    acc            0.5039   0.5039  +0.0000
standard   logic_band25             mmlu_professional_medicine               acc            0.7426   0.7426  +0.0000
standard   logic_band25             mmlu_professional_psychology             acc            0.7386   0.7386  +0.0000
standard   logic_band25             mmlu_public_relations                    acc            0.6818   0.6818  +0.0000
standard   logic_band25             mmlu_security_studies                    acc            0.7755   0.7755  +0.0000
standard   logic_band25             mmlu_social_sciences                     acc            0.8057   0.8057  +0.0000
standard   logic_band25             mmlu_sociology                           acc            0.8259   0.8259  +0.0000
standard   logic_band25             mmlu_stem                                acc            0.6483   0.6483  +0.0000
standard   logic_band25             mmlu_us_foreign_policy                   acc            0.8600   0.8600  +0.0000
standard   logic_band25             mmlu_virology                            acc            0.5542   0.5542  +0.0000
standard   logic_band25             mmlu_world_religions                     acc            0.8480   0.8480  +0.0000
standard   logic_band25             piqa                                     acc            0.7900   0.7900  +0.0000
standard   logic_band25             piqa                                     acc_norm       0.7971   0.7971  +0.0000
standard   logic_band25             winogrande                               acc            0.7001   0.7001  +0.0000
standard   nl_exact_band25          agieval_logiqa_en                        acc            0.2780   0.2780  +0.0000
standard   nl_exact_band25          agieval_logiqa_en                        acc_norm       0.3472   0.3472  +0.0000
standard   nl_exact_band25          arc_challenge                            acc            0.5026   0.5026  +0.0000
standard   nl_exact_band25          arc_challenge                            acc_norm       0.5401   0.5401  +0.0000
standard   nl_exact_band25          bbh                                      exact_match    0.6833   0.6819  -0.0014
standard   nl_exact_band25          bbh_cot_fewshot_boolean_expressions      exact_match    0.9120   0.9160  +0.0040
standard   nl_exact_band25          bbh_cot_fewshot_causal_judgement         exact_match    0.5989   0.6043  +0.0053
standard   nl_exact_band25          bbh_cot_fewshot_date_understanding       exact_match    0.7840   0.7720  -0.0120
standard   nl_exact_band25          bbh_cot_fewshot_disambiguation_qa        exact_match    0.7080   0.7080  +0.0000
standard   nl_exact_band25          bbh_cot_fewshot_dyck_languages           exact_match    0.0720   0.0640  -0.0080
standard   nl_exact_band25          bbh_cot_fewshot_formal_fallacies         exact_match    0.6400   0.6200  -0.0200
standard   nl_exact_band25          bbh_cot_fewshot_geometric_shapes         exact_match    0.6280   0.5960  -0.0320
standard   nl_exact_band25          bbh_cot_fewshot_hyperbaton               exact_match    0.9000   0.9000  +0.0000
standard   nl_exact_band25          bbh_cot_fewshot_logical_deduction_five_objects exact_match    0.5360   0.5640  +0.0280
standard   nl_exact_band25          bbh_cot_fewshot_logical_deduction_seven_objects exact_match    0.3640   0.3400  -0.0240
standard   nl_exact_band25          bbh_cot_fewshot_logical_deduction_three_objects exact_match    0.8400   0.8320  -0.0080
standard   nl_exact_band25          bbh_cot_fewshot_movie_recommendation     exact_match    0.6680   0.6760  +0.0080
standard   nl_exact_band25          bbh_cot_fewshot_multistep_arithmetic_two exact_match    0.8680   0.8720  +0.0040
standard   nl_exact_band25          bbh_cot_fewshot_navigate                 exact_match    0.9560   0.9560  +0.0000
standard   nl_exact_band25          bbh_cot_fewshot_object_counting          exact_match    0.8360   0.8280  -0.0080
standard   nl_exact_band25          bbh_cot_fewshot_penguins_in_a_table      exact_match    0.7123   0.7192  +0.0068
standard   nl_exact_band25          bbh_cot_fewshot_reasoning_about_colored_objects exact_match    0.7960   0.8000  +0.0040
standard   nl_exact_band25          bbh_cot_fewshot_ruin_names               exact_match    0.5160   0.5200  +0.0040
